checktype,current_epoch,time_usage
epoch,0,0.49199557304382324
epoch,1,0.49799299240112305
epoch,2,0.5029928684234619
epoch,3,0.5326659679412842
epoch,4,0.5386590957641602
epoch,5,0.5437169075012207
epoch,6,0.5487179756164551
epoch,7,0.5537154674530029
epoch,8,0.5587158203125
epoch,9,0.5637149810791016
epoch,10,0.5687160491943359
epoch,11,0.5737147331237793
epoch,12,0.5787806510925293
epoch,13,0.5837805271148682
epoch,14,0.5887801647186279
epoch,15,0.5927834510803223
epoch,16,0.5977814197540283
epoch,17,0.6027817726135254
epoch,18,0.6078445911407471
epoch,19,0.6128437519073486
epoch,20,0.6178441047668457
epoch,21,0.6228439807891846
epoch,22,0.6278469562530518
epoch,23,0.6328439712524414
epoch,24,0.637089729309082
epoch,25,0.6420896053314209
epoch,26,0.6470897197723389
epoch,27,0.6520895957946777
epoch,28,0.6570892333984375
epoch,29,0.6620893478393555
epoch,30,0.6670901775360107
epoch,31,0.6710894107818604
epoch,32,0.6761474609375
epoch,33,0.6811444759368896
epoch,34,0.6861448287963867
epoch,35,0.6911442279815674
epoch,36,0.6951453685760498
epoch,37,0.7011439800262451
epoch,38,0.7061963081359863
epoch,39,0.7121961116790771
epoch,40,0.7171962261199951
epoch,41,0.7231967449188232
epoch,42,0.7291958332061768
epoch,43,0.7341959476470947
epoch,44,0.7392756938934326
epoch,45,0.7452757358551025
epoch,46,0.7502751350402832
epoch,47,0.7562754154205322
epoch,48,0.7622764110565186
epoch,49,0.7672758102416992
epoch,50,0.7733290195465088
epoch,51,0.7793276309967041
epoch,52,0.7843277454376221
epoch,53,0.7903275489807129
epoch,54,0.796328067779541
epoch,55,0.8023278713226318
epoch,56,0.8083987236022949
epoch,57,0.8143994808197021
epoch,58,0.8203997611999512
epoch,59,0.8263986110687256
epoch,60,0.8323991298675537
epoch,61,0.8384621143341064
epoch,62,0.8444621562957764
epoch,63,0.8504617214202881
epoch,64,0.8564615249633789
epoch,65,0.863461971282959
epoch,66,0.8696355819702148
epoch,67,0.8757038116455078
epoch,68,0.8817036151885986
epoch,69,0.887702226638794
epoch,70,0.8947029113769531
