nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,acc,val_loss,val_acc
0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.7002471089363098,0.52884614,0.6576166749000549,0.5142857432365417
0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,0.6935476660728455,0.53846157,0.665341854095459,0.5142857432365417
0,0,0,False,False,False,False,False,0,False,0,0,0,0,2,0,0.6913286447525024,0.5480769,0.665651261806488,0.5428571701049805
0,0,0,False,False,False,False,False,0,False,0,0,0,0,3,0,0.6852477192878723,0.5480769,0.6719229817390442,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,4,0,0.6790146231651306,0.52884614,0.6849710941314697,0.48571428656578064
