index,BC
DT_0,0.6547185745278628
DT_1,0.7595642591726243
DT_2,0.6863159320116223
DT_3,0.644878704140033
DT_4,0.7427682421396165
DT_5,0.6956028051499709
DT_6,0.6411927953008403
DT_7,0.7233661252599827
DT_8,0.7431157775177797
DT_9,0.6898398701099742
RF_0,0.6217870062753784
RF_1,0.6803225002848154
RF_2,0.6367070864310569
RF_3,0.6812248181092893
RF_4,0.6574219388180379
RF_5,0.6568237534176474
RF_6,0.6604768901891429
RF_7,0.6330811475521182
RF_8,0.6435246340118258
RF_9,0.6562141791666822
NB_0,0.6990979260125801
NB_1,0.6846486112240272
NB_2,0.6562804147987357
NB_3,0.718886207309658
NB_4,0.7276119568496886
NB_5,0.7193755848076184
NB_6,0.6524109518024871
NB_7,0.6735964171456659
NB_8,0.7114120071721936
NB_9,0.6968655492601741
KNN_0,0.5611010864446194
KNN_1,0.6027704986010635
KNN_2,0.5520713339315638
KNN_3,0.6028871992340659
KNN_4,0.5893916389269795
KNN_5,0.5717628521936756
KNN_6,0.5742948270051487
KNN_7,0.6091380285979419
KNN_8,0.5957546341810617
KNN_9,0.6668863525129808
LR_0,0.6229483323211756
LR_1,0.6533435060230618
LR_2,0.6378060701322061
LR_3,0.650120102698027
LR_4,0.6373596202888676
LR_5,0.6350527092926115
LR_6,0.6644851820631064
LR_7,0.5998965791284308
LR_8,0.6598498343595318
LR_9,0.6607434834899202
