index,BC
DT_0,0.4286478084448662
DT_1,0.5742804555707781
DT_2,0.47396397103040766
DT_3,0.42351545861432144
DT_4,0.5527277903959518
DT_5,0.4769530277306169
DT_6,0.4112853684546466
DT_7,0.5296493215956304
DT_8,0.5613977897900567
DT_9,0.4825227170490328
RF_0,0.40381716443066135
RF_1,0.5230465777190217
RF_2,0.4177037037037037
RF_3,0.5476792191863045
RF_4,0.47247129681912287
RF_5,0.4840501582093051
RF_6,0.47143752395121846
RF_7,0.4147206029558971
RF_8,0.4401960784313725
RF_9,0.4811617027912054
NB_0,0.3635337636424213
NB_1,0.32727395607529464
NB_2,0.3003292397934433
NB_3,0.42249757245129455
NB_4,0.41206006820329516
NB_5,0.41095479429435156
NB_6,0.27260041299059956
NB_7,0.2872284286176668
NB_8,0.39476649430448807
NB_9,0.3627907256850346
KNN_0,0.29631947000368053
KNN_1,0.3473217018671564
KNN_2,0.28019278461466474
KNN_3,0.3413855572213893
KNN_4,0.3301652892561983
KNN_5,0.30974512743628185
KNN_6,0.32453916778776937
KNN_7,0.386694233578144
KNN_8,0.3347590169166933
KNN_9,0.4961205593500111
LR_0,0.3533424571007474
LR_1,0.4157740585774058
LR_2,0.40859551205758854
LR_3,0.44760769520935495
LR_4,0.3823484848484848
LR_5,0.3978313552476232
LR_6,0.49008309008309014
LR_7,0.3433465085638999
LR_8,0.44305084745762713
LR_9,0.44447994987468675
