index,BC
DT_0,0.6953248692102698
DT_1,0.7166591095438077
DT_2,0.6947559548630163
DT_3,0.6876999954191853
DT_4,0.7126658495327148
DT_5,0.700761856356284
DT_6,0.697519363630669
DT_7,0.6884402638646264
DT_8,0.6853566577220072
DT_9,0.682323908795523
RF_0,0.6896108030651681
RF_1,0.7009420643816116
RF_2,0.7041460235663038
RF_3,0.6841938451008227
RF_4,0.6963397500637817
RF_5,0.6914529147499205
RF_6,0.6858049632911453
RF_7,0.6815227789824707
RF_8,0.6841865727834526
RF_9,0.6789438854375539
NB_0,0.5046446323572332
NB_1,0.5061840295638477
NB_2,0.5001046179458933
NB_3,0.5018634938747445
NB_4,0.5019020705572637
NB_5,0.4949443284415256
NB_6,0.4952581437932502
NB_7,0.5027342363642835
NB_8,0.5087755202804873
NB_9,0.5035411202746471
KNN_0,0.6078409046583534
KNN_1,0.5973118918793187
KNN_2,0.5920264688663454
KNN_3,0.5991370886997008
KNN_4,0.6041172118127679
KNN_5,0.5829582561460136
KNN_6,0.6092322199964925
KNN_7,0.5931379778056532
KNN_8,0.5880412864737745
KNN_9,0.597398693754208
LR_0,0.5
LR_1,0.5
LR_2,0.5
LR_3,0.5
LR_4,0.5
LR_5,0.5
LR_6,0.5
LR_7,0.5
LR_8,0.5
LR_9,0.5
