index,BC
DT_0,0.5609770766330477
DT_1,0.6079539101271494
DT_2,0.5212917847351809
DT_3,0.6054369359454105
DT_4,0.5265778923466813
DT_5,0.623068487051473
DT_6,0.6282405618790057
DT_7,0.5481806657902453
DT_8,0.6346523636677901
DT_9,0.6232899720577716
RF_0,0.5673299985500942
RF_1,0.5980747206487758
RF_2,0.5355691056910569
RF_3,0.5457121864446106
RF_4,0.545835159217061
RF_5,0.558665250468214
RF_6,0.5540775627970129
RF_7,0.5718811491538764
RF_8,0.5544881196831916
RF_9,0.6440329218106996
NB_0,0.44559443290051787
NB_1,0.49899284370188746
NB_2,0.40313845036577395
NB_3,0.5003268434869707
NB_4,0.46586635399316206
NB_5,0.5352228885029557
NB_6,0.4806700980186605
NB_7,0.4371579865525327
NB_8,0.4996739010859486
NB_9,0.429199254384898
KNN_0,0.375314661673688
KNN_1,0.45417457352388857
KNN_2,0.4316463871451084
KNN_3,0.4031468763845813
KNN_4,0.37553217573501546
KNN_5,0.41490852728361627
KNN_6,0.33547700570163735
KNN_7,0.35408987326165237
KNN_8,0.3794473188336367
KNN_9,0.3886295928500496
LR_0,0.4630497789531327
LR_1,0.498429080915842
LR_2,0.4609599480651444
LR_3,0.4474889932332248
LR_4,0.39391366944864326
LR_5,0.48373295651742776
LR_6,0.48046004628283107
LR_7,0.4490829440138597
LR_8,0.4172178315374618
LR_9,0.48153613984007765
