index,BC
DT_0,0.5079973922214823
DT_1,0.5292132323212168
DT_2,0.4865794114861561
DT_3,0.4870984054823834
DT_4,0.5200786334255832
DT_5,0.4987398513269911
DT_6,0.509456219886533
DT_7,0.5108206400580436
DT_8,0.4833475261156816
DT_9,0.4662603012370207
RF_0,0.5057022560630372
RF_1,0.5290473742353624
RF_2,0.5283706614362305
RF_3,0.4942256633042659
RF_4,0.5210067764198526
RF_5,0.5046055749052708
RF_6,0.4936222899441423
RF_7,0.5054158281943357
RF_8,0.5017258436042648
RF_9,0.4799636786728247
NB_0,0.0842130438112137
NB_1,0.08190071859251634
NB_2,0.07966214787798898
NB_3,0.08114869694339609
NB_4,0.08058058816726164
NB_5,0.0751198285815743
NB_6,0.08648999762868803
NB_7,0.07905788258545515
NB_8,0.09435206791433859
NB_9,0.08527232352578101
KNN_0,0.3835777629181896
KNN_1,0.3631471291712667
KNN_2,0.3422854888977767
KNN_3,0.3678153756071814
KNN_4,0.3804480589295686
KNN_5,0.3323891382077238
KNN_6,0.38323302705872836
KNN_7,0.35992688696364233
KNN_8,0.34181448196898395
KNN_9,0.35731711253162096
LR_0,0.1353724157462475
LR_1,0.1353724157462475
LR_2,0.1353724157462475
LR_3,0.1353724157462475
LR_4,0.1353724157462475
LR_5,0.1353724157462475
LR_6,0.1353724157462475
LR_7,0.1353724157462475
LR_8,0.1353724157462475
LR_9,0.1353724157462475
