index,BC
DT_0,0.76477059669046
DT_1,0.7544500220255269
DT_2,0.7508017485220752
DT_3,0.7297170030592253
DT_4,0.7542496397031724
DT_5,0.7805537542599983
DT_6,0.7483389810828397
DT_7,0.770225807909155
DT_8,0.7005280728209137
DT_9,0.7502858863254943
RF_0,0.7552622193953415
RF_1,0.7713595674092816
RF_2,0.7415909986661647
RF_3,0.7196188206454973
RF_4,0.7513102756261967
RF_5,0.7644700601639248
RF_6,0.7556831623293085
RF_7,0.7629591294661928
RF_8,0.6930901724124761
RF_9,0.7759140910117771
NB_0,0.5738562142413647
NB_1,0.5336075330601099
NB_2,0.5629335016653124
NB_3,0.5877350965131217
NB_4,0.5560517849586961
NB_5,0.5600420849363325
NB_6,0.571975111056149
NB_7,0.5699508137077545
NB_8,0.5581810685058984
NB_9,0.5574428384909785
KNN_0,0.63462444163231
KNN_1,0.5922935818434218
KNN_2,0.6236246201895348
KNN_3,0.6241815468701863
KNN_4,0.6336405184144726
KNN_5,0.6226460529280994
KNN_6,0.6413583912729908
KNN_7,0.6279486573628209
KNN_8,0.6001167873353326
KNN_9,0.5939717639076044
LR_0,0.5
LR_1,0.5
LR_2,0.5
LR_3,0.5
LR_4,0.5
LR_5,0.5
LR_6,0.5
LR_7,0.5
LR_8,0.5
LR_9,0.5
