index,BC
DT_0,0.6762104118505204
DT_1,0.6054790735935716
DT_2,0.6424877369041712
DT_3,0.6761201082542349
DT_4,0.5855683557512742
DT_5,0.6128800117003383
DT_6,0.5869064457131855
DT_7,0.6506875625934082
DT_8,0.5335550341609313
DT_9,0.6085299597088394
RF_0,0.5854498524478848
RF_1,0.5671474277316473
RF_2,0.5620631023348218
RF_3,0.6859811589744643
RF_4,0.5443924348614685
RF_5,0.5859888136288999
RF_6,0.5981898464807504
RF_7,0.7598216370248521
RF_8,0.5098229875545109
RF_9,0.5281114583936406
NB_0,0.5888057787882527
NB_1,0.66157103703696
NB_2,0.6531916986923784
NB_3,0.6774852272777157
NB_4,0.6620715283383949
NB_5,0.6546840361870346
NB_6,0.6712530553633439
NB_7,0.6804553362188531
NB_8,0.6890222628081474
NB_9,0.6232167055486357
KNN_0,0.49504671620394025
KNN_1,0.4949297419316901
KNN_2,0.5114556846201264
KNN_3,0.4998579326552628
KNN_4,0.50043277263672
KNN_5,0.5003624847374847
KNN_6,0.4949919871794872
KNN_7,0.4949686488673139
KNN_8,0.4882212737547753
KNN_9,0.49664576591154264
LR_0,0.5
LR_1,0.5
LR_2,0.5
LR_3,0.5
LR_4,0.5
LR_5,0.5
LR_6,0.5
LR_7,0.5
LR_8,0.5
LR_9,0.5
