nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,acc,val_loss,val_acc
0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.6937087959334964,0.47238097,0.6929491376876831,0.508571445941925
0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,0.6929029085522607,0.50666666,0.6932895095007761,0.4571428596973419
0,0,0,False,False,False,False,False,0,False,0,0,0,0,2,0,0.6924800586700439,0.50285715,0.6930975535937718,0.4399999976158142
0,0,0,False,False,False,False,False,0,False,0,0,0,0,3,0,0.6923750037238712,0.52380955,0.6930739460672651,0.47999998927116394
0,0,0,False,False,False,False,False,0,False,0,0,0,0,4,0,0.6916987903912862,0.5580952,0.6951356291770935,0.47428572177886963
0,0,0,False,False,False,False,False,0,False,0,0,0,0,5,0,0.6916161643891108,0.5371429,0.6956944016047887,0.49142858386039734
0,0,0,False,False,False,False,False,0,False,0,0,0,0,6,0,0.691669085820516,0.5371429,0.6956515972954886,0.47999998927116394
0,0,0,False,False,False,False,False,0,False,0,0,0,0,7,0,0.6912820014499482,0.54285717,0.69452826159341,0.5028571486473083
0,0,0,False,False,False,False,False,0,False,0,0,0,0,8,0,0.6904535206158956,0.5619048,0.6939573219844273,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,9,0,0.6901803000768025,0.5561905,0.6940332746505737,0.49714285135269165
0,0,0,False,False,False,False,False,0,False,0,0,0,0,10,0,0.6896021617026556,0.5638095,0.6949538370541164,0.47999998927116394
0,0,0,False,False,False,False,False,0,False,0,0,0,0,11,0,0.6897645055680048,0.53333336,0.6952924864632742,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,12,0,0.6889902679125468,0.5466667,0.695218118258885,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,13,0,0.6876188844726199,0.5561905,0.6967300677299499,0.47999998927116394
0,1,0,False,False,False,False,False,0,False,0,0,0,0,14,0,0.6868731567973182,0.5542857,0.6970154898507255,0.4342857003211975
0,1,0,False,False,False,False,False,0,False,0,0,0,0,15,0,0.6853940503937858,0.54285717,0.6963011796133859,0.47428572177886963
0,1,0,False,False,False,False,False,0,False,0,0,0,0,16,0,0.682987311226981,0.5638095,0.6945502584321158,0.5028571486473083
0,1,0,False,False,False,False,False,0,False,0,0,1,0,17,0,0.6827294408707392,0.5561905,0.6943921276501247,0.5199999809265137
0,1,0,False,False,False,False,False,0,False,0,0,1,0,18,0,0.6805568773405892,0.567619,0.7002434478487287,0.5028571486473083
0,1,0,False,False,False,False,False,0,False,0,0,1,0,19,0,0.6847776886395046,0.5352381,0.7049087595939636,0.47999998927116394
0,1,0,False,False,False,False,False,0,False,0,0,2,0,20,0,0.6839570675577437,0.5371429,0.6990366271563939,0.4514285624027252
0,1,0,False,False,False,False,False,0,False,0,0,2,0,21,0,0.6803053723062787,0.5295238,0.6991101006099156,0.4571428596973419
0,1,0,False,False,False,False,False,0,False,0,0,3,0,22,0,0.685401714188712,0.5314286,0.7032522552353995,0.47999998927116394
0,2,0,False,False,False,False,False,0,False,0,0,4,0,23,0,0.6795977678753081,0.552381,0.7061254525184631,0.4514285624027252
0,2,0,False,False,False,False,False,0,False,0,0,4,0,24,0,0.677517264797574,0.567619,0.6985896096910749,0.47428572177886963
0,2,0,False,False,False,False,False,0,False,0,0,4,0,25,0,0.6763257273038228,0.5561905,0.6912159698350089,0.49714285135269165
0,2,0,False,False,False,False,False,0,False,0,0,4,0,26,0,0.6757117140860784,0.5542857,0.6860035736220224,0.5542857050895691
0,2,0,False,False,False,False,False,0,False,0,0,5,0,27,0,0.6752795167196365,0.5561905,0.6882844407217843,0.5485714077949524
0,2,0,False,False,False,False,False,0,False,0,0,5,0,28,0,0.6719159556570508,0.5847619,0.6980814746447972,0.5257142782211304
0,2,0,False,False,False,False,False,0,False,0,0,6,0,29,0,0.6725483080318996,0.5695238,0.7016063124792916,0.5657142996788025
0,2,0,False,False,False,False,False,0,False,0,0,7,0,30,0,0.6716508851732527,0.5657143,0.7059884371076312,0.47428572177886963
0,2,0,False,False,False,False,False,0,False,0,0,8,0,31,0,0.6715192107927231,0.5790476,0.7006473405020578,0.508571445941925
0,2,0,False,False,False,False,False,0,False,0,0,8,0,32,0,0.6698958987281436,0.59238094,0.6946150827407837,0.508571445941925
0,2,0,False,False,False,False,False,0,False,0,0,9,0,33,0,0.6672297702516828,0.5695238,0.6912380797522408,0.508571445941925
0,2,0,False,False,False,False,False,0,False,0,0,10,0,34,0,0.6657068093617757,0.5714286,0.6970593067577907,0.5028571486473083
0,2,0,False,False,False,False,False,0,False,0,0,10,0,35,0,0.6650303590865362,0.59619045,0.6968086624145508,0.5028571486473083
0,2,0,False,False,False,False,False,0,False,0,0,10,0,36,0,0.6670848082360767,0.552381,0.6887756160327366,0.49714285135269165
0,2,0,False,False,False,False,False,0,False,0,0,10,0,37,0,0.6625919309116545,0.5561905,0.6950600842067174,0.508571445941925
0,2,0,False,False,False,False,False,0,False,0,0,10,0,38,0,0.6622364800316947,0.5904762,0.6960405918530056,0.5657142996788025
0,2,0,False,False,False,False,False,0,False,0,0,11,0,39,0,0.6597739561398824,0.567619,0.6915677962984358,0.5028571486473083
0,2,0,False,False,False,1,False,0,False,0,0,11,0,40,0,0.6627999208087013,0.5733333,0.6828925827571324,0.5142857432365417
