dataset,num,time
circle,0,9.179513931274414
circle,1,11.630172491073608
circle,2,3.217479944229126
circle,3,3.2200751304626465
circle,4,19.119373321533203
circle,5,4.921572923660278
circle,6,1.964087724685669
circle,7,4.157271146774292
circle,8,12.334064245223999
circle,9,3.2033469676971436
circle,10,8.947509288787842
circle,11,4.867919445037842
circle,12,3.210681438446045
circle,13,9.920835018157959
circle,14,4.893095254898071
circle,15,8.933473825454712
circle,16,5.414994239807129
circle,17,4.707557916641235
circle,18,6.514306306838989
circle,19,5.443614721298218
circle,20,3.970767021179199
circle,21,3.995603561401367
circle,22,3.9975929260253906
circle,23,4.128517150878906
circle,24,5.96526575088501
circle,25,5.334994792938232
circle,26,6.648315191268921
circle,27,4.043962001800537
circle,28,4.047412633895874
circle,29,4.8873608112335205
circle,30,5.981006145477295
circle,31,4.040150880813599
circle,32,5.423449516296387
circle,33,5.989936113357544
circle,34,4.764400005340576
circle,35,4.7872536182403564
