dataset,num,time
imdb,0,18136.56659913063
imdb,1,17930.13342499733
imdb,2,17870.046117544174
imdb,3,11809.75351858139
imdb,4,8820.598687648773
imdb,5,8884.308621168137
imdb,6,18488.79160809517
imdb,7,18286.308388233185
imdb,8,18330.819371700287
imdb,9,20169.861730098724
imdb,10,19086.07220673561
imdb,11,19078.840910196304
imdb,12,18717.27711033821
