nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,acc,val_loss,val_acc
0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,1.1630589962005615,0.52884614,1.0258773565292358,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,1.1579760313034058,0.52884614,1.0368406772613525,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,2,0,1.1515507698059082,0.53846157,1.048685073852539,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,3,0,1.1446675062179565,0.53846157,1.060341715812683,0.48571428656578064
0,0,0,False,False,False,False,False,0,False,0,0,0,0,4,0,1.137544870376587,0.53846157,1.0708242654800415,0.48571428656578064
