index,A,B,C,AB,AC,BC,ABC
DT_0,0.7179044329303398,0.8585204375359816,0.6631944444444444,0.9149484536082474,0.6949404761904762,0.8807426597582038,0.802119129438717
DT_1,0.8450197143041821,0.7794617966660978,0.7535476593344613,0.8903609598709418,0.7459530651340996,0.9247693128955997,0.8690020069330414
DT_2,0.7863475177304964,0.7513775803931244,1.0,0.9753178758414359,1.0,0.8567019400352733,0.8077876984126985
DT_3,0.5965635738831615,0.8034188034188036,0.8315972222222223,0.7027472527472528,0.5614583333333333,0.8898392558186372,0.5725546058879393
DT_4,0.7881944444444443,0.8871706758304697,0.7760595647193586,0.943580886586068,0.9075650118203309,0.943580886586068,0.943580886586068
DT_5,0.49489795918367346,0.7760595647193586,0.6632302405498282,0.943580886586068,0.6632302405498282,0.8871527777777778,0.7474093264248705
DT_6,0.5415293129080214,0.7390552995391705,0.6632302405498282,0.6301169590643274,0.5980654193712612,0.8057919621749409,0.6560283687943261
DT_7,0.5520542920029347,0.6179044329303397,0.7743055555555555,0.5716695753344968,0.7826500297088533,0.6785714285714285,0.6994473531122746
DT_8,0.7425870811287479,0.851855212744505,0.943580886586068,0.8463362068965519,0.7672871489797224,0.8243055555555556,0.8463362068965519
DT_9,0.3992675750015992,0.6298969072164948,0.8315972222222223,0.6527218064351052,0.5998362307886117,0.9093749999999999,0.6298969072164948
RF_0,0.49659863945578236,0.6641025641025641,1.0,0.9435808865860679,0.7760595647193584,0.7760595647193584,0.6085470085470085
RF_1,0.6307426597582038,0.6641025641025641,0.6641025641025641,0.7760595647193584,0.8324697754749568,0.9435808865860679,0.7760595647193584
RF_2,0.8258500957854406,0.6394207167403044,0.8324697754749568,0.6649484536082474,0.8324697754749568,0.8324697754749568,0.8324697754749568
RF_3,0.49659863945578236,0.6307692307692307,0.6085470085470085,0.6649484536082474,0.6085470085470085,0.7760595647193586,0.8324697754749568
RF_4,0.663265306122449,0.5227272727272727,0.6077097505668935,0.7752136752136752,0.8316151202749141,0.8316151202749141,0.8316151202749141
RF_5,0.49576988155668356,0.6641025641025641,0.6632302405498282,0.6641025641025641,0.49576988155668356,0.6641025641025641,0.6641025641025641
RF_6,0.6077097505668935,0.741008018327606,0.49576988155668356,0.7760595647193584,0.6077097505668935,0.8324697754749568,0.7760595647193584
RF_7,0.48997936928971414,0.8249955333214222,0.943580886586068,0.8316151202749141,0.6076746849942726,0.8324697754749568,0.6641025641025641
RF_8,0.6076746849942726,0.6641025641025641,0.7760595647193586,0.7974358974358974,0.6641025641025641,0.6641025641025641,0.943580886586068
RF_9,0.49659863945578236,0.6649484536082474,0.8324697754749568,0.5799319727891157,0.49659863945578236,0.6649484536082474,0.49659863945578236
NB_0,0.5200396014114155,0.32352110159596786,0.586000807102502,0.3601470844834369,0.643776006262102,0.3738744084198629,0.36002721218170647
NB_1,0.3763247863247863,0.2556645918395362,0.5679107679107679,0.24825737715937354,0.6325829115358464,0.2996004147908846,0.26716519559768986
NB_2,0.24951267056530216,0.24028527650623688,0.5876131531303945,0.2801768076206545,0.49185541882171097,0.2570664094185468,0.28586305659134814
NB_3,0.4849574379630197,0.2832153119868637,0.5572283558232036,0.29771150460805634,0.7102411477411478,0.27796076451570134,0.3100931707633074
NB_4,0.38214290639663767,0.28465608465608466,0.5223685105803906,0.31084656084656087,0.6343378843378843,0.3840223268794698,0.3386243386243386
NB_5,0.458772173627981,0.2937942006907524,0.5301241333499398,0.3610600575512857,0.662012987012987,0.3451380770529708,0.36318208934273793
NB_6,0.4987065082799254,0.3364568120106699,0.5496807151979566,0.3833677521989211,0.6130851798714065,0.35776982394318546,0.37888514329901885
NB_7,0.4949117413648305,0.21258082510351115,0.45060150375939845,0.23472356103935046,0.6121323529411765,0.2429534732542803,0.2525948315844066
NB_8,0.39134220354808585,0.2719905107086846,0.5555159437512379,0.27588245364915354,0.6209981167608286,0.31412568667470625,0.2950328559612892
NB_9,0.4393489782276547,0.3277527376219181,0.6350552943225357,0.37081691981653514,0.7535193564605328,0.3350343957961533,0.34443996138592264
KNN_0,0.2344006568144499,0.33048713738368907,0.3220439691027926,0.33048713738368907,0.3201494490849813,0.3201494490849813,0.4024247610897161
KNN_1,0.2344006568144499,0.30842911877394635,0.2540305010893247,0.30842911877394635,0.2540305010893247,0.2540305010893247,0.2844006568144499
KNN_2,0.25923714759535654,0.3953968253968254,0.257843137254902,0.4080721065645689,0.27995984987343986,0.2807309941520468,0.3772222222222223
KNN_3,0.2542307692307692,0.33377120963327855,0.32038834951456313,0.33377120963327855,0.3246474028207775,0.3246474028207775,0.32540402730965345
KNN_4,0.24333333333333332,0.28362407669338363,0.4121784345922277,0.29665309814563545,0.4097516894546598,0.4059626111864918,0.3395493395493396
