index,A,B,C,AB,AC,BC,ABC
DT_0,0.8171321079227089,0.9083915141194835,0.9186535647096074,0.9340437272328782,0.8636232251163066,0.9120892690655961,0.9332181952499604
DT_1,0.8415066912362009,0.9052105821685115,0.8052276061550273,0.8978399650784405,0.8607308557648117,0.85030485928101,0.8593101669648018
DT_2,0.8088976074701852,0.9033991265322211,0.9357149405394773,0.8890635342744405,0.8997359824736102,0.9144402893442506,0.8888228374096346
DT_3,0.7638235647513998,0.905575210525308,0.8840337060056304,0.9259094597704977,0.9050931451032871,0.8979413895532317,0.9103586704689647
DT_4,0.8730651424934547,0.9147687189353856,0.9191939809782638,0.9238980723268821,0.943377109912543,0.9145471146283399,0.9188956561534326
DT_5,0.8034995956414829,0.8946386101820885,0.8819694040934145,0.8586907092727131,0.866936792279258,0.9430959274105416,0.9092082809861456
DT_6,0.8814419952788599,0.9263340393179104,0.9407075422000796,0.9050021638829495,0.913999669983847,0.8989039642375922,0.9140658624529593
DT_7,0.8602806898330987,0.9421005930358225,0.9267033320946364,0.9052179756066588,0.935199985876296,0.943857572130152,0.8922793223237341
DT_8,0.8561537986577415,0.8752893953700872,0.904617744610282,0.8407868252434914,0.9275745665197997,0.9190739313180257,0.8976709552290947
DT_9,0.8403936607502013,0.8976661922644881,0.9102487757761087,0.8763321241386731,0.8720317259347086,0.8966165472283616,0.8943013877486504
RF_0,0.8566911766787461,0.9657026284926853,0.9789273358325018,0.9441183307679384,0.9425858180306271,0.9648682397028447,0.9622434385486595
RF_1,0.8379818475508106,0.9518653319489587,0.9348995588249234,0.9263546803311821,0.9329802240013508,0.9611839079318755,0.9580007014966364
RF_2,0.8456832641043167,0.9498475168477559,0.957178805693514,0.9548955937708329,0.9344039812423549,0.947397069679104,0.9498475168477559
RF_3,0.784433593108861,0.9739878274815158,0.9380194967009589,0.8871683756501417,0.9044125135133472,0.9492514159631914,0.9381322996336051
RF_4,0.9108463266678397,0.97599559944128,0.9706806024018796,0.942978317978318,0.9556735730092624,0.9587817060170565,0.9352381240573514
RF_5,0.8218436753648022,0.9880723326429516,0.9639397071826078,0.968839422013911,0.9166131647818561,0.9709133945976052,0.9733927600274619
RF_6,0.8675868375307824,0.9789273358325018,0.9570851178313924,0.9650531016045845,0.9488520866619455,0.9670056398710493,0.9318804115905565
RF_7,0.824570741272422,0.9624234054312875,0.9365626169363823,0.9487769256142551,0.941664502944629,0.9723358180270708,0.9591995184222212
RF_8,0.7534427756446282,0.941171535201537,0.8944142424986415,0.9367309234637186,0.9127968955832171,0.9308324757361081,0.9494757720109832
RF_9,0.863099565622156,0.9508905024123401,0.9595487893790766,0.977262665059181,0.9406693443342657,0.9502532463162384,0.9625310364740917
NB_0,0.34714099018374944,0.10613836116552296,0.32677726752863273,0.14339118126736658,0.3928348091309599,0.171815116407569,0.17642446088461708
NB_1,0.3075734972545736,0.1513500378592067,0.32545730558919006,0.18880027864448504,0.4199178190446438,0.17303947502301395,0.19317113988179702
NB_2,0.3776805132619781,0.09769331853253689,0.3158224776779818,0.1065929550250601,0.3927872146592897,0.14127967225940813,0.15226919765760796
NB_3,0.3414455070012858,0.11550638278062564,0.3437280050114275,0.1389427944585281,0.4562725051743506,0.17906273620559335,0.19018262995706606
NB_4,0.35000655834444955,0.1285857816657031,0.33938457046867665,0.13435623398938668,0.44910260969730526,0.23750007802507409,0.2421194483916409
NB_5,0.32745994208203294,0.13386720268929955,0.33921062928924006,0.14537616696325031,0.4620989107457754,0.17897473827836044,0.19622443650331287
NB_6,0.3186438701415715,0.08515858537355626,0.34583013328661893,0.11132066170118332,0.41319321934838443,0.17779758698962436,0.17977388094139365
NB_7,0.30843414030249955,0.140977677134174,0.32831411214512646,0.16240499266815056,0.4281935287175869,0.1851817507844761,0.1985582187709847
NB_8,0.3780769656742961,0.11566562152964972,0.32250208915312367,0.16540888370957865,0.42171955375198406,0.19133442689404134,0.1993403002533027
NB_9,0.31600415388682146,0.09086840813261572,0.3398285458435851,0.11177214888901012,0.4313481333581836,0.154339481516471,0.1533329059985398
KNN_0,0.5431664885084813,0.6536511629938163,0.7625714103732447,0.6536511629938163,0.6552984214084059,0.6600033316674996,0.634211796451659
KNN_1,0.4620138432831932,0.4624419133455328,0.7292482858187713,0.4624419133455328,0.5520241553402295,0.5481647313291568,0.47965159110556893
KNN_2,0.45999933859122405,0.47415288011659756,0.720239304135005,0.47415288011659756,0.5259052170006882,0.513510114956912,0.49240725973182115
KNN_3,0.4919520004061067,0.5171629221904436,0.6847592109516124,0.5171629221904436,0.5748550796028029,0.5740067247961399,0.5170187085554029
KNN_4,0.5257494533751063,0.5216239862525448,0.731061208881154,0.5216239862525448,0.6375314635023374,0.6237535678660815,0.5670948114450939
KNN_5,0.5271885929513048,0.5066730765937422,0.7601041419871487,0.5066730765937422,0.5851416212400194,0.5957526396807218,0.5701662017908794
KNN_6,0.5314368593141157,0.49089356880359764,0.7012146728610144,0.49089356880359764,0.603341005707688,0.603341005707688,0.5707955127309966
KNN_7,0.5078138860145338,0.529696875587995,0.6579962373124413,0.529696875587995,0.5358155121773763,0.5461076870394806,0.5403122363857424
KNN_8,0.43446276594641087,0.5468973617655015,0.7151562530066101,0.5468973617655015,0.572352021649127,0.553929216983548,0.5575167543352236
